Name,Category,Reviews,Address
가마로강정 성균관대점,"치킨,닭강정",리뷰 530,경기 수원시 장안구 서부로 2129-1 1층 가마로강정
안도,이자카야,리뷰 115,경기 수원시 장안구 율전로 73 대우이안상가1동 1층 101호
율전동,요리주점,리뷰 113,경기 수원시 장안구 화산로233번길 59 2층 율전동
만다,한식,리뷰 229,경기 수원시 장안구 서부로2105번길 16-6
맥주거품 성균관대점,"맥주,호프",리뷰 49,경기 수원시 장안구 율전로108번길 20 1층 105~107호
쉬즈베이글 수원성대점,"카페,디저트",리뷰 353,경기 수원시 장안구 서부로2106번길 22
히닭발,닭발,리뷰 232,경기 수원시 장안구 율전로98번길 18-4 1층 히닭발
황소마을 곱창,"곱창,막창,양",리뷰 158,경기 수원시 장안구 서부로2105번길 12 황소마을곱창
크림오리,"카페,디저트",리뷰 90,경기 수원시 장안구 덕영대로425번길 41 1층 크림오리 카페
바바플,와플,리뷰 213,경기 수원시 장안구 서부로2126번길 30 1층 바바플
본죽&비빔밥cafe 수원율전점,죽,리뷰 451,경기 수원시 장안구 서부로 2113 1층 본죽&비빔밥
휘미관,한식,리뷰 131,경기 수원시 장안구 서부로2105번길 29 1층 휘미관
호시타코야끼 성대점,일식당,리뷰 99,경기 수원시 장안구 서부로2106번길 26-3 1층 101호
깡우동 성대점,포장마차,리뷰 299,경기 수원시 장안구 화산로233번길 30 1층 102호
싸움의고수 수원성대점,"족발,보쌈",리뷰 141,경기 수원시 장안구 서부로2126번길 24
최고당돈가스 수원천천점,돈가스,리뷰 999+,경기 수원시 장안구 만석로5번길 6 1층 최고당돈가스 천천점
디인카페,"카페,디저트",리뷰 238,경기 수원시 장안구 덕영대로439번길 45 디인카페
한솥도시락 수원성대점,"도시락,컵밥",리뷰 239,경기 수원시 장안구 서부로 2112
포레스트오늘숲 수원천천점,베트남음식,리뷰 381,경기 수원시 장안구 만석로5번길 6 세화프라자 1층 103호
버터랏츠,베이커리,리뷰 596,경기 수원시 장안구 서부로2181번길 29 1층
대동집 수원성균관대점,한식,리뷰 287,경기 수원시 장안구 율전로108번길 15
롤링파스타 수원성균관대점,"스파게티,파스타전문",리뷰 159,경기 수원시 장안구 서부로 2125 2층
상무네닭발집성대점,닭발,리뷰 227,경기 수원시 장안구 율전로 93
쉐프의돈카츠,돈가스,리뷰 144,경기 수원시 장안구 하률로 21 1층
하삼동커피 수원성균관대점,카페,리뷰 810,경기 수원시 장안구 서부로2126번길 17 A동 상가3호
전설의치킨 성대점,"치킨,닭강정",리뷰 424,경기 수원시 장안구 하률로12번길 4 율천프라자 104호
비어첸 수원성대점,"맥주,호프",리뷰 102,경기 수원시 장안구 율전로108번길 14 1층
벨라튀니지,양식,리뷰 142,경기 수원시 장안구 서부로2106번길 21 왕돈까스
경기수산직판장,생선회,리뷰 390,경기 수원시 장안구 율전로97번길 4 경기수산직판장
샐러디치오도씨 수원성대점,샌드위치,리뷰 144,경기 수원시 장안구 서부로2106번길 21 1층 4호
이라부,일식당,리뷰 218,경기 수원시 장안구 서부로 2135 제일성모의원
땅스부대찌개 성대점,"찌개,전골",리뷰 675,경기 수원시 장안구 율전로 107 105호
양지촌,양꼬치,리뷰 129,경기 수원시 장안구 화산로213번길 25 1층 양지촌
왕빈자삼파전 성대점,"전,빈대떡",리뷰 144,경기 수원시 장안구 서부로2126번길 18
역전할머니맥주 성균관대점,"맥주,호프",리뷰 521,경기 수원시 장안구 율전로108번길 23 역전할머니맥주
대한닭갈비,한식,리뷰 135,경기 수원시 장안구 서부로2123번길 34-7
태화루,중식당,리뷰 420,경기 수원시 장안구 서부로2181번길 46 제일성모의원1층 태화루
선참치,생선회,리뷰 279,경기 수원시 장안구 서부로2105번길 26-4
더카페라운지X페르케노 수원성대역점,카페,리뷰 147,경기 수원시 장안구 서부로2126번길 10
동대문엽기떡볶이 수원성대점,분식,리뷰 737,경기 수원시 장안구 서부로 2132
정직유부 수원성대점,"초밥,롤",리뷰 65,경기 수원시 장안구 서부로2126번길 10
희망김밥,김밥,리뷰 63,경기 수원시 장안구 율전로97번길 15 102호
이까야,이자카야,리뷰 61,경기 수원시 장안구 서부로2105번길 26-2
BBQ치킨 수원성대역점,"치킨,닭강정",리뷰 217,경기 수원시 장안구 서부로2126번길 27
참바른김밥,김밥,리뷰 870,경기 수원시 장안구 서부로2126번길 17 참바른김밥
화원루,중식당,리뷰 287,경기 수원시 장안구 서부로2126번길 17
크라운호프 수원성대점,"맥주,호프",리뷰 234,경기 수원시 장안구 화산로213번길 32 1층
무쏘 성대점,소고기구이,리뷰 239,경기 수원시 장안구 서부로 2187 율전BD
하남돼지집 수원천천점,돼지고기구이,리뷰 351,경기 수원시 장안구 만석로19번길 11-3 태영프라자 2층 202호
오늘우동,한식,리뷰 18,경기 수원시 장안구 서부로2126번길 15 1층
밥밥디라라 수원성균관대점,한식,리뷰 100,경기 수원시 장안구 서부로2106번길 26-3 1층 103호
BHC치킨 성대율전점,"치킨,닭강정",리뷰 244,경기 수원시 장안구 서부로2181번길 40
배스킨라빈스 수원성대점,아이스크림,리뷰 999+,경기 수원시 장안구 서부로 2119 1층
자연김밥,김밥,리뷰 749,경기 수원시 장안구 서부로 2113
리꼬리또,핫도그,리뷰 149,경기 수원시 장안구 서부로2106번길 22 1층 리꼬리또
뚜레쥬르 성대율전점,베이커리,리뷰 999+,경기 수원시 장안구 율전로 105
화락바베큐치킨 수원성대점,"치킨,닭강정",리뷰 239,경기 수원시 장안구 화산로233번길 42 1층
보배반점 성균관대점,중식당,리뷰 136,경기 수원시 장안구 서부로 2132 2층
루미네숯불닭갈비,닭갈비,리뷰 366,경기 수원시 장안구 서부로2135번길 13 1층
심,이자카야,리뷰 31,경기 수원시 장안구 서부로2136번길 21
신전떡볶이 수원성대점,분식,리뷰 658,경기 수원시 장안구 서부로 2107
닭강정스토리,"치킨,닭강정",리뷰 88,경기 수원시 장안구 서부로2123번길 20
달쏭쿠키제작소,케이크전문,리뷰 227,경기 수원시 장안구 서부로2167번길 51 . 1층 104호(율전동)달쏭쿠키제작소
명동돈까스,돈가스,리뷰 182,경기 수원시 장안구 서부로2106번길 17
빨간석쇠구이 성대점,"육류,고기요리",리뷰 184,경기 수원시 장안구 서부로2105번길 26-3
북한산조개구이,조개요리,리뷰 185,경기 수원시 장안구 서부로2135번길 13
반한맛,한식,리뷰 215,경기 수원시 장안구 서부로2167번길 52 반.한.맛
메가MGC커피 수원율전점,카페,리뷰 999+,경기 수원시 장안구 서부로2105번길 16-4
성대족발보쌈,"족발,보쌈",리뷰 89,경기 수원시 장안구 서부로2105번길 16-1
